NFat,Data,CliID,Pais,QTD,Valor,Mes,Ano,Status
563921,2021-08-21 14:00:00,16407.0,United Kingdom,2.0,15.9,8,2021,Completo
563943,2021-08-22 10:04:00,13139.0,United Kingdom,268.0,540.92,8,2021,Completo
575854,2021-11-11 12:20:00,14125.0,United Kingdom,486.0,1111.08,11,2021,Completo
552764,2021-05-11 11:34:00,17489.0,United Kingdom,232.0,208.56,5,2021,Completo
571407,2021-10-17 12:16:00,13750.0,United Kingdom,85.0,330.63,10,2021,Completo
548208,2021-03-29 17:12:00,14189.0,United Kingdom,224.0,314.1,3,2021,Completo
556922,2021-06-15 13:56:00,12748.0,United Kingdom,5.0,14.25,6,2021,Completo
572076,2021-10-20 14:01:00,13761.0,United Kingdom,418.0,578.94,10,2021,Completo
544189,2021-02-16 16:40:00,15867.0,United Kingdom,36.0,133.0,2,2021,Completo
562543,2021-08-05 15:45:00,13552.0,United Kingdom,216.0,463.9,8,2021,Completo
573136,2021-10-27 17:00:00,12709.0,Germany,110.0,268.68,10,2021,Completo
558261,2021-06-28 08:39:00,16945.0,United Kingdom,24.0,10.08,6,2021,Completo
581482,2021-12-09 09:08:00,17490.0,United Kingdom,228.0,488.4,12,2021,Completo
579740,2021-11-30 14:30:00,,United Kingdom,13.0,32.07,11,2021,Incompleto
559538,2021-07-10 12:25:00,16880.0,United Kingdom,135.0,269.49,7,2021,Completo
548862,2021-04-04 13:47:00,17956.0,United Kingdom,1.0,12.75,4,2021,Completo
565569,2021-09-05 12:21:00,14111.0,United Kingdom,18.0,48.3,9,2021,Completo
556047,2021-06-08 12:57:00,12901.0,United Kingdom,90.0,276.24,6,2021,Completo
548189,2021-03-29 15:15:00,16607.0,United Kingdom,163.0,141.41,3,2021,Completo
557213,2021-06-17 12:16:00,15021.0,United Kingdom,119.0,218.14,6,2021,Completo
549142,2021-04-06 15:26:00,,United Kingdom,145.0,0.0,4,2021,Incompleto
571310,2021-10-17 10:17:00,13394.0,United Kingdom,463.0,371.73,10,2021,Completo
542254,2021-01-26 16:41:00,14733.0,United Kingdom,133.0,511.69,1,2021,Completo
576674,2021-11-16 12:00:00,,United Kingdom,145.0,0.0,11,2021,Incompleto
C553841,2021-05-19 12:19:00,16029.0,United Kingdom,145.0,9.6,5,2021,Completo
548546,2021-03-31 19:20:00,16600.0,United Kingdom,186.0,111.6,3,2021,Completo
558563,2021-06-30 13:43:00,14561.0,United Kingdom,192.0,344.92,6,2021,Completo
543385,2021-02-07 16:24:00,,United Kingdom,1.0,7.95,2,2021,Incompleto
546034,2021-03-09 09:44:00,14032.0,United Kingdom,291.0,309.64,3,2021,Completo
557602,2021-06-21 11:57:00,14110.0,United Kingdom,156.0,379.72,6,2021,Completo
544596,2021-02-21 17:35:00,16441.0,United Kingdom,110.0,211.0,2,2021,Completo
553006,2021-05-12 16:45:00,15544.0,United Kingdom,393.0,560.35,5,2021,Completo
542634,2021-01-31 10:42:00,15448.0,United Kingdom,232.0,494.64,1,2021,Completo
540536,2021-01-09 14:21:00,17757.0,United Kingdom,93.0,145.5,1,2021,Completo
536568,2020-12-01 15:28:00,16048.0,United Kingdom,12.0,5.04,12,2020,Completo
545686,2021-03-06 12:09:00,18211.0,United Kingdom,56.0,137.9,3,2021,Completo
553861,2021-05-19 13:58:00,13591.0,United Kingdom,135.0,314.03,5,2021,Completo
C551015,2021-04-26 11:06:00,12753.0,Japan,145.0,85.47,4,2021,Completo
567370,2021-09-20 09:13:00,14236.0,United Kingdom,272.0,301.56,9,2021,Completo
560034,2021-07-14 13:35:00,13933.0,United Kingdom,113.0,300.99,7,2021,Completo
547419,2021-03-23 10:27:00,15061.0,United Kingdom,1135.0,1649.58,3,2021,Completo
C565681,2021-09-06 10:42:00,15521.0,United Kingdom,145.0,192.4,9,2021,Completo
565081,2021-09-01 09:03:00,,United Kingdom,1.0,0.0,9,2021,Incompleto
565680,2021-09-06 10:27:00,14560.0,United Kingdom,240.0,100.8,9,2021,Completo
561244,2021-07-26 11:24:00,13865.0,United Kingdom,54.0,100.82,7,2021,Completo
C576831,2021-11-16 14:56:00,12748.0,United Kingdom,145.0,1301.0,11,2021,Completo
542155,2021-01-26 10:51:00,15777.0,United Kingdom,112.0,285.6,1,2021,Completo
572023,2021-10-20 11:03:00,17764.0,United Kingdom,247.0,556.85,10,2021,Completo
577749,2021-11-21 14:26:00,16242.0,United Kingdom,299.0,534.2,11,2021,Completo
C537383,2020-12-06 13:17:00,16550.0,United Kingdom,145.0,9.05,12,2020,Completo
550901,2021-04-21 12:12:00,13389.0,United Kingdom,115.0,257.89,4,2021,Completo
555546,2021-06-05 13:09:00,17735.0,United Kingdom,118.0,228.3,6,2021,Completo
561900,2021-07-31 15:31:00,16655.0,United Kingdom,523.0,638.19,7,2021,Completo
547963,2021-03-28 15:42:00,13037.0,United Kingdom,158.0,250.42,3,2021,Completo
575968,2021-11-13 12:47:00,14882.0,United Kingdom,92.0,341.8,11,2021,Completo
571745,2021-10-19 10:48:00,14911.0,EIRE,711.0,1588.75,10,2021,Completo
539986,2020-12-23 15:21:00,,United Kingdom,7.0,15.25,12,2020,Incompleto
543115,2021-02-03 13:27:00,14606.0,United Kingdom,72.0,120.75,2,2021,Completo
552947,2021-05-12 11:57:00,16943.0,United Kingdom,20.0,172.1,5,2021,Completo
550002,2021-04-14 09:30:00,12709.0,Germany,41.0,68.0,4,2021,Completo
551320,2021-04-27 15:25:00,,United Kingdom,60.0,0.0,4,2021,Incompleto
569539,2021-10-04 15:58:00,18102.0,United Kingdom,112.0,557.76,10,2021,Completo
569863,2021-10-06 14:44:00,,United Kingdom,1.0,9.95,10,2021,Incompleto
545812,2021-03-07 12:26:00,14214.0,United Kingdom,313.0,638.65,3,2021,Completo
569740,2021-10-06 10:52:00,15769.0,United Kingdom,1600.0,2924.0,10,2021,Completo
564648,2021-08-26 14:04:00,15641.0,United Kingdom,466.0,581.82,8,2021,Completo
573751,2021-11-01 09:33:00,,United Kingdom,10.0,0.0,11,2021,Incompleto
551859,2021-05-04 15:37:00,14336.0,United Kingdom,301.0,230.03,5,2021,Completo
538070,2020-12-09 14:08:00,16519.0,United Kingdom,24.0,103.7,12,2020,Completo
576848,2021-11-16 15:38:00,15051.0,United Kingdom,124.0,245.68,11,2021,Completo
546442,2021-03-14 10:38:00,15159.0,United Kingdom,54.0,207.3,3,2021,Completo
560422,2021-07-18 15:14:00,16746.0,United Kingdom,162.0,300.18,7,2021,Completo
541967,2021-01-24 13:35:00,,United Kingdom,145.0,0.0,1,2021,Incompleto
C546894,2021-03-17 18:21:00,14334.0,United Kingdom,145.0,12.75,3,2021,Completo
559948,2021-07-14 10:41:00,12653.0,Israel,633.0,1430.75,7,2021,Completo
539688,2020-12-21 11:00:00,12678.0,France,1.0,150.0,12,2020,Completo
548916,2021-04-05 10:07:00,14849.0,United Kingdom,377.0,422.34,4,2021,Completo
576767,2021-11-16 13:12:00,,United Kingdom,145.0,0.0,11,2021,Incompleto
565851,2021-09-07 13:06:00,14911.0,EIRE,332.0,637.29,9,2021,Completo
538909,2020-12-15 10:48:00,13491.0,United Kingdom,18.0,97.5,12,2020,Completo
553475,2021-05-17 11:31:00,18102.0,United Kingdom,306.0,866.4,5,2021,Completo
536523,2020-12-01 12:50:00,12868.0,United Kingdom,112.0,203.3,12,2020,Completo
547571,2021-03-24 09:52:00,16265.0,United Kingdom,182.0,432.3,3,2021,Completo
557871,2021-06-23 12:41:00,13458.0,United Kingdom,130.0,300.78,6,2021,Completo
C565290,2021-09-02 11:46:00,16092.0,United Kingdom,145.0,30.0,9,2021,Completo
553017,2021-05-12 19:01:00,12757.0,Portugal,311.0,602.83,5,2021,Completo
549471,2021-04-08 14:39:00,17389.0,United Kingdom,72.0,73.5,4,2021,Completo
573924,2021-11-02 09:45:00,15065.0,United Kingdom,202.0,299.38,11,2021,Completo
C554011,2021-05-20 12:55:00,13151.0,United Kingdom,145.0,7.5,5,2021,Completo
576641,2021-11-16 09:59:00,17549.0,United Kingdom,150.0,120.66,11,2021,Completo
574746,2021-11-07 08:30:00,16523.0,United Kingdom,198.0,676.8,11,2021,Completo
546019,2021-03-08 17:25:00,14507.0,United Kingdom,50.0,39.49,3,2021,Completo
556809,2021-06-14 16:48:00,17179.0,United Kingdom,82.0,223.48,6,2021,Completo
567768,2021-09-22 11:17:00,15950.0,United Kingdom,123.0,255.84,9,2021,Completo
574661,2021-11-06 11:56:00,13447.0,United Kingdom,166.0,430.3,11,2021,Completo
C575940,2021-11-13 11:38:00,17838.0,United Kingdom,145.0,466.6,11,2021,Completo
549838,2021-04-12 13:39:00,16705.0,United Kingdom,48.0,96.0,4,2021,Completo
547519,2021-03-23 14:46:00,16308.0,United Kingdom,1000.0,320.0,3,2021,Completo
C554140,2021-05-23 10:34:00,13004.0,United Kingdom,145.0,15.8,5,2021,Completo
C558736,2021-07-01 15:14:00,18075.0,United Kingdom,145.0,18.28,7,2021,Completo
577080,2021-11-17 15:24:00,17001.0,United Kingdom,172.0,357.6,11,2021,Completo
560048,2021-07-14 15:02:00,13515.0,United Kingdom,127.0,132.16,7,2021,Completo
C566963,2021-09-15 17:09:00,17573.0,United Kingdom,145.0,17.7,9,2021,Completo
568709,2021-09-28 15:42:00,15036.0,United Kingdom,176.0,219.86,9,2021,Completo
539651,2020-12-20 16:19:00,,United Kingdom,26.0,32.5,12,2020,Incompleto
578171,2021-11-23 11:36:00,17685.0,United Kingdom,207.0,392.4,11,2021,Completo
576400,2021-11-15 10:51:00,13632.0,United Kingdom,288.0,452.14,11,2021,Completo
557640,2021-06-21 16:24:00,,United Kingdom,364.0,1760.85,6,2021,Incompleto
543013,2021-02-02 13:35:00,,United Kingdom,310.0,1340.77,2,2021,Incompleto
542083,2021-01-25 12:26:00,18008.0,United Kingdom,355.0,130.81,1,2021,Completo
579759,2021-11-30 15:02:00,15251.0,United Kingdom,244.0,363.88,11,2021,Completo
552215,2021-05-06 15:12:00,,United Kingdom,145.0,0.0,5,2021,Incompleto
537628,2020-12-07 15:02:00,16293.0,United Kingdom,189.0,378.75,12,2020,Completo
542096,2021-01-25 12:52:00,17236.0,United Kingdom,141.0,199.33,1,2021,Completo
549149,2021-04-06 15:31:00,,United Kingdom,145.0,0.0,4,2021,Incompleto
C541284,2021-01-17 12:45:00,17744.0,United Kingdom,145.0,31.32,1,2021,Completo
576909,2021-11-17 09:49:00,12471.0,Germany,519.0,1072.12,11,2021,Completo
560105,2021-07-14 19:23:00,16794.0,United Kingdom,263.0,222.13,7,2021,Completo
541709,2021-01-21 11:09:00,17504.0,United Kingdom,233.0,441.15,1,2021,Completo
578272,2021-11-23 13:40:00,17463.0,United Kingdom,126.0,198.31,11,2021,Completo
555363,2021-06-02 14:15:00,14453.0,United Kingdom,49.0,119.93,6,2021,Completo
566033,2021-09-08 13:07:00,16031.0,United Kingdom,204.0,243.31,9,2021,Completo
571545,2021-10-17 16:59:00,,United Kingdom,11.0,13.65,10,2021,Incompleto
562155,2021-08-03 11:24:00,17940.0,United Kingdom,648.0,162.0,8,2021,Completo
C575142,2021-11-08 15:36:00,17183.0,United Kingdom,145.0,37.5,11,2021,Completo
561047,2021-07-24 12:46:00,16948.0,United Kingdom,1368.0,194.48,7,2021,Completo
C544442,2021-02-20 10:30:00,15465.0,United Kingdom,145.0,32.85,2,2021,Completo
568527,2021-09-27 13:21:00,13178.0,United Kingdom,539.0,765.0,9,2021,Completo
563382,2021-08-16 10:50:00,18221.0,United Kingdom,145.0,169.85,8,2021,Completo
C560220,2021-07-15 15:22:00,14572.0,United Kingdom,145.0,12.75,7,2021,Completo
C548647,2021-04-01 13:17:00,12888.0,United Kingdom,145.0,29.85,4,2021,Completo
549196,2021-04-07 10:33:00,14911.0,EIRE,271.0,356.23,4,2021,Completo
577599,2021-11-21 08:26:00,15738.0,United Kingdom,202.0,316.9,11,2021,Completo
569567,2021-10-05 09:56:00,16059.0,United Kingdom,40.0,105.3,10,2021,Completo
576347,2021-11-14 15:38:00,13268.0,United Kingdom,2.0,8.2,11,2021,Completo
544569,2021-02-21 12:58:00,16980.0,United Kingdom,418.0,732.36,2,2021,Completo
542865,2021-02-01 12:08:00,12929.0,United Kingdom,37.0,117.85,2,2021,Completo
562789,2021-08-09 13:50:00,14646.0,Netherlands,7807.0,12341.21,8,2021,Completo
567798,2021-09-22 12:00:00,13089.0,United Kingdom,331.0,886.63,9,2021,Completo
C539838,2020-12-22 13:59:00,13458.0,United Kingdom,145.0,16.5,12,2020,Completo
565577,2021-09-05 12:24:00,14177.0,United Kingdom,2.0,7.5,9,2021,Completo
550915,2021-04-21 13:30:00,13263.0,United Kingdom,69.0,133.59,4,2021,Completo
541293,2021-01-17 13:39:00,15311.0,United Kingdom,145.0,394.57,1,2021,Completo
578688,2021-11-25 09:27:00,16719.0,United Kingdom,235.0,292.67,11,2021,Completo
560896,2021-07-21 17:26:00,15623.0,United Kingdom,125.0,301.03,7,2021,Completo
561711,2021-07-29 11:45:00,13414.0,United Kingdom,368.0,532.8,7,2021,Completo
C575385,2021-11-09 15:19:00,15916.0,United Kingdom,145.0,18.55,11,2021,Completo
C571023,2021-10-13 12:18:00,15239.0,United Kingdom,145.0,16.25,10,2021,Completo
575701,2021-11-10 16:59:00,13396.0,United Kingdom,461.0,973.72,11,2021,Completo
547886,2021-03-28 09:21:00,13652.0,United Kingdom,178.0,329.44,3,2021,Completo
562467,2021-08-05 11:50:00,13513.0,United Kingdom,109.0,205.1,8,2021,Completo
563927,2021-08-21 15:01:00,14013.0,United Kingdom,258.0,199.22,8,2021,Completo
C565229,2021-09-02 09:12:00,17450.0,United Kingdom,145.0,200.0,9,2021,Completo
581471,2021-12-08 19:29:00,14702.0,United Kingdom,76.0,199.29,12,2021,Completo
573230,2021-10-28 11:55:00,13199.0,United Kingdom,48.0,85.92,10,2021,Completo
568656,2021-09-28 12:21:00,14911.0,EIRE,70.0,141.62,9,2021,Completo
554502,2021-05-24 14:47:00,14289.0,United Kingdom,26.0,124.68,5,2021,Completo
581017,2021-12-07 10:06:00,14910.0,United Kingdom,80.0,110.8,12,2021,Completo
C540118,2021-01-05 09:57:00,,United Kingdom,145.0,16453.71,1,2021,Incompleto
540116,2021-01-05 09:54:00,,United Kingdom,2.0,10.13,1,2021,Incompleto
546428,2021-03-13 14:55:00,12681.0,France,185.0,343.29,3,2021,Completo
571090,2021-10-13 15:28:00,15271.0,United Kingdom,34.0,79.5,10,2021,Completo
540856,2021-01-12 10:16:00,16655.0,United Kingdom,373.0,812.25,1,2021,Completo
568242,2021-09-26 12:11:00,14931.0,Channel Islands,181.0,261.65,9,2021,Completo
557599,2021-06-21 11:34:00,,United Kingdom,145.0,0.0,6,2021,Incompleto
550713,2021-04-20 11:11:00,15159.0,United Kingdom,1.0,12.5,4,2021,Completo
542100,2021-01-25 13:15:00,15339.0,United Kingdom,159.0,257.9,1,2021,Completo
549833,2021-04-12 13:19:00,13458.0,United Kingdom,666.0,1015.14,4,2021,Completo
571918,2021-10-19 16:05:00,17350.0,United Kingdom,240.0,156.24,10,2021,Completo
566983,2021-09-16 10:16:00,,United Kingdom,1.0,0.0,9,2021,Incompleto
537432,2020-12-06 16:10:00,,United Kingdom,145.0,0.0,12,2020,Incompleto
537759,2020-12-08 11:42:00,13126.0,United Kingdom,108.0,203.64,12,2020,Completo
554128,2021-05-23 09:26:00,,United Kingdom,145.0,0.0,5,2021,Incompleto
555940,2021-06-08 10:10:00,14191.0,United Kingdom,98.0,357.6,6,2021,Completo
C574318,2021-11-03 19:11:00,16729.0,United Kingdom,145.0,20.2,11,2021,Completo
560834,2021-07-21 12:15:00,16523.0,United Kingdom,204.0,484.4,7,2021,Completo
554366,2021-05-24 10:24:00,17450.0,United Kingdom,3084.0,9468.48,5,2021,Completo
566520,2021-09-13 11:26:00,17757.0,United Kingdom,61.0,161.19,9,2021,Completo
537471,2020-12-07 10:51:00,14344.0,United Kingdom,3.0,17.85,12,2020,Completo
562034,2021-08-02 09:14:00,12449.0,Belgium,267.0,777.95,8,2021,Completo
C562709,2021-08-08 14:32:00,17511.0,United Kingdom,145.0,29.49,8,2021,Completo
572516,2021-10-24 14:45:00,,United Kingdom,145.0,0.0,10,2021,Incompleto
561108,2021-07-25 11:43:00,,United Kingdom,145.0,0.0,7,2021,Incompleto
568332,2021-09-26 14:30:00,13434.0,United Kingdom,240.0,461.4,9,2021,Completo
556823,2021-06-15 10:24:00,,United Kingdom,8.0,77.72,6,2021,Incompleto
C574010,2021-11-02 11:51:00,17841.0,United Kingdom,145.0,10.35,11,2021,Completo
537456,2020-12-07 09:43:00,17450.0,United Kingdom,780.0,1989.24,12,2020,Completo
569693,2021-10-05 15:18:00,17837.0,United Kingdom,105.0,250.95,10,2021,Completo
573131,2021-10-27 16:44:00,15622.0,United Kingdom,106.0,381.95,10,2021,Completo
540099,2021-01-04 16:41:00,15808.0,United Kingdom,322.0,733.92,1,2021,Completo
546220,2021-03-10 12:16:00,16745.0,United Kingdom,584.0,541.1,3,2021,Completo
C578039,2021-11-22 14:13:00,17338.0,United Kingdom,145.0,10.95,11,2021,Completo
560252,2021-07-17 12:35:00,13468.0,United Kingdom,61.0,115.87,7,2021,Completo
569653,2021-10-05 12:52:00,12451.0,Switzerland,1650.0,2539.56,10,2021,Completo
553545,2021-05-17 15:37:00,,United Kingdom,68.0,430.14,5,2021,Incompleto
575475,2021-11-09 16:03:00,17702.0,United Kingdom,302.0,485.6,11,2021,Completo
575703,2021-11-10 16:59:00,13767.0,United Kingdom,902.0,1735.3,11,2021,Completo
556279,2021-06-09 19:55:00,14562.0,United Kingdom,59.0,215.39,6,2021,Completo
578951,2021-11-27 14:40:00,15514.0,United Kingdom,277.0,499.23,11,2021,Completo
578947,2021-11-27 13:49:00,14547.0,United Kingdom,438.0,534.58,11,2021,Completo
570129,2021-10-07 13:34:00,12885.0,United Kingdom,293.0,519.47,10,2021,Completo
566607,2021-09-13 16:40:00,13032.0,United Kingdom,175.0,496.3,9,2021,Completo
580887,2021-12-06 12:26:00,13755.0,United Kingdom,80.0,156.9,12,2021,Completo
C561682,2021-07-28 19:27:00,13631.0,United Kingdom,145.0,48.65,7,2021,Completo
552523,2021-05-09 16:38:00,15797.0,United Kingdom,200.0,330.0,5,2021,Completo
541263,2021-01-16 16:10:00,16843.0,United Kingdom,534.0,759.06,1,2021,Completo
542796,2021-02-01 11:07:00,17356.0,United Kingdom,166.0,178.22,2,2021,Completo
